School,3PTA,3PT%,2PTA,2PT%,Steals,ORB%,AdjT
Abilene Christian,21.5,0.32,38.5,0.504935065,10.9,0.291,69.9104
Air Force,21.6,0.333,28,0.515357143,5.45,0.196,63.158
Akron,22,0.354,30.9,0.534304207,5.85,0.306,62.0745
Alabama,29.9,0.309,32.9,0.558054711,7.06,0.353,71.7144
Alabama A&M,14.4,0.271,43.4,0.414746544,7.03,0.287,66.4661
Alabama State,18.7,0.332,38.1,0.471653543,7.55,0.297,69.3423
Albany (NY),18.2,0.323,38,0.450789474,6.74,0.261,65.035
Alcorn State,17.1,0.316,41.3,0.450847458,7.44,0.319,67.7171
American,15.2,0.331,39.1,0.495396419,6.53,0.216,64.8182
Appalachian State,24.9,0.335,32.9,0.482674772,5.62,0.273,64.1005
Arizona,22,0.352,39.3,0.570992366,6.73,0.346,72.1752
Arizona State,22.5,0.307,37.9,0.477572559,6.68,0.249,67.1827
Arkansas,20.7,0.304,39.9,0.501253133,7.59,0.295,70.59
Arkansas State,17.4,0.311,39.6,0.512373737,7.9,0.298,68.2275
Arkansas-Pine Bluff,22.7,0.301,33.2,0.480722892,7.16,0.246,67.0211
Army,21,0.321,38.3,0.500261097,7.84,0.3,68.6786
Auburn,25.4,0.318,38.3,0.512793734,8.35,0.336,70.0205
Austin Peay,25,0.315,31.5,0.482539683,6.41,0.295,64.5247
Ball State,23.7,0.361,33.8,0.49852071,6.06,0.271,69.8411
Baylor,23.5,0.343,37.8,0.535449735,8.76,0.363,67.2084
Bellarmine,22.9,0.34,33.1,0.568277946,5.61,0.237,61.9093
Belmont,25.8,0.332,33.6,0.608630952,9.06,0.246,68.7928
Bethune-Cookman,14.3,0.336,42.5,0.444705882,7.93,0.284,65.6971
Binghamton,20.8,0.354,37.5,0.4896,5.66,0.272,66.9834
Boise State,21.2,0.346,33.4,0.507784431,6,0.306,64.6171
Boston College,18.6,0.309,38.9,0.484318766,7.18,0.3,64.8346
Boston University,21.2,0.354,35,0.514,5.63,0.311,65.0823
Bowling Green State,24.2,0.34,41.1,0.490754258,7.32,0.307,72.6713
Bradley,23,0.338,35.1,0.513675214,6.35,0.321,67.1234
Brigham Young,22.7,0.353,37.3,0.520107239,4.8,0.308,67.7621
Brown,23,0.313,35.6,0.513764045,6.69,0.294,67.2499
Bryant,27.1,0.304,35.8,0.537709497,6.47,0.331,72.1799
Bucknell,21,0.376,34.9,0.506876791,4.63,0.214,67.5388
Buffalo,24.9,0.342,40.3,0.526054591,7.13,0.372,70.945
Butler,22.8,0.305,31.7,0.497160883,5.18,0.267,63.7592
Cal Poly,18.1,0.29,33.7,0.473293769,4.71,0.279,64.545
Cal State Bakersfield,13.3,0.288,44.3,0.464559819,6.18,0.336,64.2867
Cal State Fullerton,16.7,0.329,39,0.494871795,7.28,0.297,65.9926
Cal State Northridge,16.9,0.303,39.2,0.445663265,7.2,0.27,64.8522
California,17.8,0.308,38.4,0.472135417,4.88,0.253,63.962
California Baptist,24,0.333,31.9,0.514106583,5.18,0.287,67.5289
Campbell,19.9,0.318,34.1,0.544281525,6.21,0.222,62.3151
Canisius,24.1,0.306,36.6,0.462295082,6.03,0.285,68.1174
Central Arkansas,22.2,0.3,41,0.515121951,6.81,0.274,71.7951
Central Connecticut State,21.5,0.342,33.3,0.428228228,6.22,0.263,64.4898
Central Florida,25.1,0.35,33.2,0.478915663,7,0.308,67.2911
Central Michigan,22.7,0.341,33.8,0.454733728,6.27,0.253,67.405
Charleston Southern,26.8,0.308,32.2,0.488819876,6.55,0.276,68.8418
Charlotte,21.8,0.345,33,0.535757576,4.81,0.226,65.3523
Chattanooga,22.9,0.345,35.9,0.540668524,7.2,0.327,64.6362
Chicago State,24.5,0.31,31.5,0.454285714,5.47,0.322,65.5267
Cincinnati,25.8,0.315,35.2,0.467329545,6.3,0.299,67.442
Clemson,21.4,0.363,35.2,0.5125,5.91,0.258,66.1535
Cleveland State,19.4,0.327,38.1,0.55511811,8.65,0.338,67.588
Coastal Carolina,21,0.355,37.7,0.50265252,6.67,0.342,66.0402
Colgate,24.5,0.404,33.6,0.523511905,6.11,0.266,67.2561
